,player_lines,Act No.
46,"ACT I. Scene I.
",ACT I.
47,"Elsinore. A platform before the Castle.
",ACT I.
48,"
",ACT I.
49,"Enter two Sentinels-[first,] Francisco, [who paces up and down
",ACT I.
50,"at his post; then] Bernardo, [who approaches him].
",ACT I.
51,"
",ACT I.
52,"  Ber. Who's there.?
",ACT I.
53,"  Fran. Nay, answer me. Stand and unfold yourself.
",ACT I.
54,"  Ber. Long live the King!
",ACT I.
55,"  Fran. Bernardo?
",ACT I.
56,"  Ber. He.
",ACT I.
57,"  Fran. You come most carefully upon your hour.
",ACT I.
58,"  Ber. 'Tis now struck twelve. Get thee to bed, Francisco.
",ACT I.
59,"  Fran. For this relief much thanks. 'Tis bitter cold,
",ACT I.
60,"    And I am sick at heart.
",ACT I.
61,"  Ber. Have you had quiet guard?
",ACT I.
62,"  Fran. Not a mouse stirring.
",ACT I.
63,"  Ber. Well, good night.
",ACT I.
64,"    If you do meet Horatio and Marcellus,
",ACT I.
65,"    The rivals of my watch, bid them make haste.
",ACT I.
66,"
",ACT I.
67,"                    Enter Horatio and Marcellus.  
",ACT I.
68,"
",ACT I.
69,"  Fran. I think I hear them. Stand, ho! Who is there?
",ACT I.
70,"  Hor. Friends to this ground.
",ACT I.
71,"  Mar. And liegemen to the Dane.
",ACT I.
72,"  Fran. Give you good night.
",ACT I.
73,"  Mar. O, farewell, honest soldier.
",ACT I.
74,"    Who hath reliev'd you?
",ACT I.
75,"  Fran. Bernardo hath my place.
",ACT I.
76,"    Give you good night.                                   Exit.
",ACT I.
77,"  Mar. Holla, Bernardo!
",ACT I.
78,"  Ber. Say-
",ACT I.
79,"    What, is Horatio there ?
",ACT I.
80,"  Hor. A piece of him.
",ACT I.
81,"  Ber. Welcome, Horatio. Welcome, good Marcellus.
",ACT I.
82,"  Mar. What, has this thing appear'd again to-night?
",ACT I.
83,"  Ber. I have seen nothing.
",ACT I.
84,"  Mar. Horatio says 'tis but our fantasy,
",ACT I.
85,"    And will not let belief take hold of him
",ACT I.
86,"    Touching this dreaded sight, twice seen of us.
",ACT I.
87,"    Therefore I have entreated him along,  
",ACT I.
88,"    With us to watch the minutes of this night,
",ACT I.
89,"    That, if again this apparition come,
",ACT I.
90,"    He may approve our eyes and speak to it.
",ACT I.
91,"  Hor. Tush, tush, 'twill not appear.
",ACT I.
92,"  Ber. Sit down awhile,
",ACT I.
93,"    And let us once again assail your ears,
",ACT I.
94,"    That are so fortified against our story,
",ACT I.
95,"    What we two nights have seen.
",ACT I.
96,"  Hor. Well, sit we down,
",ACT I.
97,"    And let us hear Bernardo speak of this.
",ACT I.
98,"  Ber. Last night of all,
",ACT I.
99,"    When yond same star that's westward from the pole
",ACT I.
100,"    Had made his course t' illume that part of heaven
",ACT I.
101,"    Where now it burns, Marcellus and myself,
",ACT I.
102,"    The bell then beating one-
",ACT I.
103,"
",ACT I.
104,"                        Enter Ghost.
",ACT I.
105,"
",ACT I.
106,"  Mar. Peace! break thee off! Look where it comes again!
",ACT I.
107,"  Ber. In the same figure, like the King that's dead.  
",ACT I.
108,"  Mar. Thou art a scholar; speak to it, Horatio.
",ACT I.
109,"  Ber. Looks it not like the King? Mark it, Horatio.
",ACT I.
110,"  Hor. Most like. It harrows me with fear and wonder.
",ACT I.
111,"  Ber. It would be spoke to.
",ACT I.
112,"  Mar. Question it, Horatio.
",ACT I.
113,"  Hor. What art thou that usurp'st this time of night
",ACT I.
114,"    Together with that fair and warlike form
",ACT I.
115,"    In which the majesty of buried Denmark
",ACT I.
116,"    Did sometimes march? By heaven I charge thee speak!
",ACT I.
117,"  Mar. It is offended.
",ACT I.
118,"  Ber. See, it stalks away!
",ACT I.
119,"  Hor. Stay! Speak, speak! I charge thee speak!
",ACT I.
120,"                                                     Exit Ghost.
",ACT I.
121,"  Mar. 'Tis gone and will not answer.
",ACT I.
122,"  Ber. How now, Horatio? You tremble and look pale.
",ACT I.
123,"    Is not this something more than fantasy?
",ACT I.
124,"    What think you on't?
",ACT I.
125,"  Hor. Before my God, I might not this believe
",ACT I.
126,"    Without the sensible and true avouch
",ACT I.
127,"    Of mine own eyes.  
",ACT I.
128,"  Mar. Is it not like the King?
",ACT I.
129,"  Hor. As thou art to thyself.
",ACT I.
130,"    Such was the very armour he had on
",ACT I.
131,"    When he th' ambitious Norway combated.
",ACT I.
132,"    So frown'd he once when, in an angry parle,
",ACT I.
133,"    He smote the sledded Polacks on the ice.
",ACT I.
134,"    'Tis strange.
",ACT I.
135,"  Mar. Thus twice before, and jump at this dead hour,
",ACT I.
136,"    With martial stalk hath he gone by our watch.
",ACT I.
137,"  Hor. In what particular thought to work I know not;
",ACT I.
138,"    But, in the gross and scope of my opinion,
",ACT I.
139,"    This bodes some strange eruption to our state.
",ACT I.
140,"  Mar. Good now, sit down, and tell me he that knows,
",ACT I.
141,"    Why this same strict and most observant watch
",ACT I.
142,"    So nightly toils the subject of the land,
",ACT I.
143,"    And why such daily cast of brazen cannon
",ACT I.
144,"    And foreign mart for implements of war;
",ACT I.
145,"    Why such impress of shipwrights, whose sore task
",ACT I.
146,"    Does not divide the Sunday from the week.
",ACT I.
147,"    What might be toward, that this sweaty haste  
",ACT I.
148,"    Doth make the night joint-labourer with the day?
",ACT I.
149,"    Who is't that can inform me?
",ACT I.
150,"  Hor. That can I.
",ACT I.
151,"    At least, the whisper goes so. Our last king,
",ACT I.
152,"    Whose image even but now appear'd to us,
",ACT I.
153,"    Was, as you know, by Fortinbras of Norway,
",ACT I.
154,"    Thereto prick'd on by a most emulate pride,
",ACT I.
155,"    Dar'd to the combat; in which our valiant Hamlet
",ACT I.
156,"    (For so this side of our known world esteem'd him)
",ACT I.
157,"    Did slay this Fortinbras; who, by a seal'd compact,
",ACT I.
158,"    Well ratified by law and heraldry,
",ACT I.
159,"    Did forfeit, with his life, all those his lands
",ACT I.
160,"    Which he stood seiz'd of, to the conqueror;
",ACT I.
161,"    Against the which a moiety competent
",ACT I.
162,"    Was gaged by our king; which had return'd
",ACT I.
163,"    To the inheritance of Fortinbras,
",ACT I.
164,"    Had he been vanquisher, as, by the same comart
",ACT I.
165,"    And carriage of the article design'd,
",ACT I.
166,"    His fell to Hamlet. Now, sir, young Fortinbras,
",ACT I.
167,"    Of unimproved mettle hot and full,  
",ACT I.
168,"    Hath in the skirts of Norway, here and there,
",ACT I.
169,"    Shark'd up a list of lawless resolutes,
",ACT I.
170,"    For food and diet, to some enterprise
",ACT I.
171,"    That hath a stomach in't; which is no other,
",ACT I.
172,"    As it doth well appear unto our state,
",ACT I.
173,"    But to recover of us, by strong hand
",ACT I.
174,"    And terms compulsatory, those foresaid lands
",ACT I.
175,"    So by his father lost; and this, I take it,
",ACT I.
176,"    Is the main motive of our preparations,
",ACT I.
177,"    The source of this our watch, and the chief head
",ACT I.
178,"    Of this post-haste and romage in the land.
",ACT I.
179,"  Ber. I think it be no other but e'en so.
",ACT I.
180,"    Well may it sort that this portentous figure
",ACT I.
181,"    Comes armed through our watch, so like the King
",ACT I.
182,"    That was and is the question of these wars.
",ACT I.
183,"  Hor. A mote it is to trouble the mind's eye.
",ACT I.
184,"    In the most high and palmy state of Rome,
",ACT I.
185,"    A little ere the mightiest Julius fell,
",ACT I.
186,"    The graves stood tenantless, and the sheeted dead
",ACT I.
187,"    Did squeak and gibber in the Roman streets;  
",ACT I.
188,"    As stars with trains of fire, and dews of blood,
",ACT I.
189,"    Disasters in the sun; and the moist star
",ACT I.
190,"    Upon whose influence Neptune's empire stands
",ACT I.
191,"    Was sick almost to doomsday with eclipse.
",ACT I.
192,"    And even the like precurse of fierce events,
",ACT I.
193,"    As harbingers preceding still the fates
",ACT I.
194,"    And prologue to the omen coming on,
",ACT I.
195,"    Have heaven and earth together demonstrated
",ACT I.
196,"    Unto our climature and countrymen.
",ACT I.
197,"
",ACT I.
198,"                      Enter Ghost again.
",ACT I.
199,"
",ACT I.
200,"    But soft! behold! Lo, where it comes again!
",ACT I.
201,"    I'll cross it, though it blast me.- Stay illusion!
",ACT I.
202,"                                               Spreads his arms.
",ACT I.
203,"    If thou hast any sound, or use of voice,
",ACT I.
204,"    Speak to me.
",ACT I.
205,"    If there be any good thing to be done,
",ACT I.
206,"    That may to thee do ease, and, race to me,
",ACT I.
207,"    Speak to me.  
",ACT I.
208,"    If thou art privy to thy country's fate,
",ACT I.
209,"    Which happily foreknowing may avoid,
",ACT I.
210,"    O, speak!
",ACT I.
211,"    Or if thou hast uphoarded in thy life
",ACT I.
212,"    Extorted treasure in the womb of earth
",ACT I.
213,"    (For which, they say, you spirits oft walk in death),
",ACT I.
214,"                                                 The cock crows.
",ACT I.
215,"    Speak of it! Stay, and speak!- Stop it, Marcellus!
",ACT I.
216,"  Mar. Shall I strike at it with my partisan?
",ACT I.
217,"  Hor. Do, if it will not stand.
",ACT I.
218,"  Ber. 'Tis here!
",ACT I.
219,"  Hor. 'Tis here!
",ACT I.
220,"  Mar. 'Tis gone!
",ACT I.
221,"                                                     Exit Ghost.
",ACT I.
222,"    We do it wrong, being so majestical,
",ACT I.
223,"    To offer it the show of violence;
",ACT I.
224,"    For it is as the air, invulnerable,
",ACT I.
225,"    And our vain blows malicious mockery.
",ACT I.
226,"  Ber. It was about to speak, when the cock crew.
",ACT I.
227,"  Hor. And then it started, like a guilty thing  
",ACT I.
228,"    Upon a fearful summons. I have heard
",ACT I.
229,"    The cock, that is the trumpet to the morn,
",ACT I.
230,"    Doth with his lofty and shrill-sounding throat
",ACT I.
231,"    Awake the god of day; and at his warning,
",ACT I.
232,"    Whether in sea or fire, in earth or air,
",ACT I.
233,"    Th' extravagant and erring spirit hies
",ACT I.
234,"    To his confine; and of the truth herein
",ACT I.
235,"    This present object made probation.
",ACT I.
236,"  Mar. It faded on the crowing of the cock.
",ACT I.
237,"    Some say that ever, 'gainst that season comes
",ACT I.
238,"    Wherein our Saviour's birth is celebrated,
",ACT I.
239,"    The bird of dawning singeth all night long;
",ACT I.
240,"    And then, they say, no spirit dare stir abroad,
",ACT I.
241,"    The nights are wholesome, then no planets strike,
",ACT I.
242,"    No fairy takes, nor witch hath power to charm,
",ACT I.
243,"    So hallow'd and so gracious is the time.
",ACT I.
244,"  Hor. So have I heard and do in part believe it.
",ACT I.
245,"    But look, the morn, in russet mantle clad,
",ACT I.
246,"    Walks o'er the dew of yon high eastward hill.
",ACT I.
247,"    Break we our watch up; and by my advice  
",ACT I.
248,"    Let us impart what we have seen to-night
",ACT I.
249,"    Unto young Hamlet; for, upon my life,
",ACT I.
250,"    This spirit, dumb to us, will speak to him.
",ACT I.
251,"    Do you consent we shall acquaint him with it,
",ACT I.
252,"    As needful in our loves, fitting our duty?
",ACT I.
253,"    Let's do't, I pray; and I this morning know
",ACT I.
254,"    Where we shall find him most conveniently.           Exeunt.
",ACT I.
255,"
",ACT I.
256,"
",ACT I.
257,"
",ACT I.
258,"
",ACT I.
259,"Scene II.
",ACT I.
260,"Elsinore. A room of state in the Castle.
",ACT I.
261,"
",ACT I.
262,"Flourish. [Enter Claudius, King of Denmark, Gertrude the Queen, Hamlet,
",ACT I.
263,"Polonius, Laertes and his sister Ophelia, [Voltemand, Cornelius,]
",ACT I.
264,"Lords Attendant.
",ACT I.
265,"
",ACT I.
266,"  King. Though yet of Hamlet our dear brother's death
",ACT I.
267,"    The memory be green, and that it us befitted
",ACT I.
268,"    To bear our hearts in grief, and our whole kingdom
",ACT I.
269,"    To be contracted in one brow of woe,
",ACT I.
270,"    Yet so far hath discretion fought with nature
",ACT I.
271,"    That we with wisest sorrow think on him
",ACT I.
272,"    Together with remembrance of ourselves.
",ACT I.
273,"    Therefore our sometime sister, now our queen,
",ACT I.
274,"    Th' imperial jointress to this warlike state,
",ACT I.
275,"    Have we, as 'twere with a defeated joy,
",ACT I.
276,"    With an auspicious, and a dropping eye,
",ACT I.
277,"    With mirth in funeral, and with dirge in marriage,
",ACT I.
278,"    In equal scale weighing delight and dole,
",ACT I.
279,"    Taken to wife; nor have we herein barr'd
",ACT I.
280,"    Your better wisdoms, which have freely gone  
",ACT I.
281,"    With this affair along. For all, our thanks.
",ACT I.
