,Alias,Player
0,King.,  Claudius
1,Mar.,  Marcellus
2,Ham.,  Hamlet
3,Pol.,  Polonius
4,Hor.,  Horatio
5,Laer.,  Laertes
6,Volt.,  Voltemand
7,Cor.,  Cornelius
8,Ros.,  Rosencrantz
9,Guil.,  Guildenstern
10,Osr.,  Osric
11,Gent.,  A Gentleman
12,Priest.,  A Priest
13,Mar.,  Marcellus
14,Ber.,  Bernardo
15,Fran.,  Francisco
16,Rey.,  Reynaldo
18,Clowns,  Two Clowns
19,Fort.,  Fortinbras
20,Capt.,  A Norwegian Captain
21,Ambassador.,  English Ambassadors
23,Queen.,  Getrude
24,Oph.,  Ophelia
26,Ghost.,s Father
