,Person 1,Person 2,weight
0,King.,Ham.,20
1,King.,Hor.,2
2,King.,Laer.,14
3,King.,Osr.,5
8,King.,Queen.,4
9,Ham.,King.,14
10,Ham.,Hor.,29
11,Ham.,Laer.,20
12,Ham.,Osr.,24
13,Ham.,Priest.,1
17,Ham.,Queen.,8
18,Hor.,King.,2
19,Hor.,Ham.,34
20,Hor.,Laer.,3
21,Hor.,Osr.,11
24,Hor.,Fort.,3
25,Hor.,Ambassador.,1
26,Hor.,Queen.,1
27,Laer.,King.,11
28,Laer.,Ham.,19
29,Laer.,Hor.,1
30,Laer.,Osr.,4
31,Laer.,Priest.,2
35,Laer.,Queen.,5
36,Osr.,King.,5
37,Osr.,Ham.,29
38,Osr.,Hor.,5
39,Osr.,Laer.,7
44,Osr.,Queen.,1
46,Priest.,Ham.,1
48,Priest.,Laer.,3
65,Fort.,Hor.,3
74,Ambassador.,Hor.,1
79,Ambassador.,Fort.,2
81,Queen.,King.,8
82,Queen.,Ham.,9
83,Queen.,Hor.,2
84,Queen.,Laer.,5
85,Queen.,Osr.,3
86,Queen.,Priest.,1
